# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
焦香玉米肋骨|corn:500,oil:20,paprika:3,cumin:2,salt:3|熟玉米先切短段，再在稳定砧板上纵切成四瓣；玉米芯太硬就保留短段，不强劈。|抹油盐香料，中火翻烤到玉米粒焦黄，中心复热，外形会略卷。|像啃肋排一样啃玉米粒，不咬玉米芯。|miso-corn|25/35|grill
整根大葱蘸味噌|leek:400,miso:25,water:25,lemonJuice:12,oil:10|大葱保留完整葱白，外层洗净擦干；味噌水柠檬汁另拌。|中火不断转动烤葱，外层焦色后移弱火，直到中心柔软。|剥掉焦黑外皮，只吃柔软葱心蘸味噌。|v4-leek|20/35|grill|搅拌碗
孜然香辣烤韭菜|chives:300,cumin:2,chili:1,soy:12,oil:15,sesame:4|韭菜逐根洗净去泥，沥干，分小束夹进烤篮。|中火薄刷油翻烤，韭菜全部软熟后刷生抽撒香料，再短烤。|出炉撒芝麻，剪成短段避免整束拉扯。|v4-chives|18/25|basket
蒜椒烤秋葵|okra:350,garlic:15,oil:15,soy:12,blackPepper:1|秋葵洗净擦干，切去硬蒂但保留完整果荚；蒜切末。|秋葵放烤篮中火烤并翻动，表面起泡变软；蒜油另烤熟再拌。|生抽黑椒下火拌，秋葵内部黏液属于正常口感。|v4-okra|18/28|basket|耐热浅盘
帕尔马西葫芦长片|zucchini:400,oliveOil:15,parmesan:25,lemonJuice:15,salt:2|西葫芦纵切8毫米片，擦干薄刷油盐，奶酪另装。|中强火两面烤出焦纹，内里刚软即取出，不反复挤压出水。|撒奶酪与柠檬汁，长片卷起来吃。|v4-zucchini|18/25|grill
芝麻咖喱花椰菜小朵|cauliflower:400,curryPowder:3,oil:18,sesame:5,salt:3|花椰菜切同样大小小朵，沥干，拌咖喱油盐。|烤篮中火翻动，粗梗先朝热区；表面金黄后弱火烤到梗能轻松咬断。|撒芝麻，挑着小朵当烧烤配菜吃。|v4-cauliflower|22/35|basket
柠檬蒜香西兰花|broccoli:400,garlic:15,oliveOil:18,lemonJuice:20,salt:3|西兰花分小朵，粗梗削去硬皮切片，拌油盐。|放烤篮中火烤，翻动避免花冠焦黑；蒜末另在小盘烤熟。|下火拌熟蒜与柠檬汁，梗和花都吃。|v4-broccoli|22/32|basket|耐热浅盘
焦边卷心菜楔块|cabbage:500,oliveOil:20,mustard:20,wineVinegar:15,salt:3|卷心菜保留根芯切小楔块，切面刷油盐；芥末醋另调。|切面先中火上色，再放浅盘合上炉盖，弱火烤软菜芯，避免外面黑内里硬。|切开淋芥末酸汁，焦黑外叶不吃。|v4-cabbage|25/40|roast|耐热浅盘
蜜汁烤胡萝卜|carrot:400,honey:18,oil:15,cumin:2,salt:2|胡萝卜削皮纵切四瓣，粗细保持一致，先抹油盐孜然。|中火先上色，再间接烤到叉子能扎透；蜂蜜最后刷。|甜脆到软糯按烤透程度调整，不把蜂蜜提前烤焦。|v4-carrot|20/40|roast
蒜香莲藕脆片|lotus:400,garlic:15,soy:15,oil:20,chili:1|莲藕削皮切5毫米片，冲去表面淀粉，彻底擦干。|放烤篮中火翻烤，片心熟透而边缘略脆；蒜油另烤熟后拌入。|生抽辣椒下火拌，趁热吃脆口。|v4-lotus|22/32|basket|耐热浅盘
